Measurement,MeasurementNote,ResourceType,Database,Metric,MetricNote,MetricUnit
"agent_diskio","Disk traffic and timing","agent","telegraf","iops","Disk read/write operate rate","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","reads","Number of reads","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","writes","Number of writes","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","iocount","Accumulated I/O request count","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","read_bytes","Bytes read","byte"
"agent_diskio","Disk traffic and timing","agent","telegraf","write_bytes","Bytes write","byte"
"agent_diskio","Disk traffic and timing","agent","telegraf","iobytes","Bytes of both read and write","byte"
"agent_diskio","Disk traffic and timing","agent","telegraf","read_time","Time to wait for read","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","write_time","Time to wait for write","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","io_time","I / O request queuing time","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","read_await","Time to wait for read","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","write_await","Time to wait for write","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","await","I / O request queuing time","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","merged_reads","Merged disk read request count","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","merged_writes","Merged disk write request count","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","merged_iocount","Merged Accumulated I/O request count","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","weighted_io_time","I / O request waiting time","ms"
"agent_diskio","Disk traffic and timing","agent","telegraf","iops_in_progress","Number of I / O requests issued but not yet completed","count"
"agent_diskio","Disk traffic and timing","agent","telegraf","ioutil","IO utilization in percentage","%"
"agent_diskio","Disk traffic and timing","agent","telegraf","avgqu_sz","Averate queing request count per seconds","NULL"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","file_nr","The number of allocated file handles","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","file_max","The maximum number of file handles that the Linux kernel will allocate.","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","inode_nr","The number of inodes the system has allocated","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","inode_free_nr","The number of free inodes","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","aio_nr","The running total of the number of events specified on the io_setup system call for all currently active aio contexts","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","aio_max_nr","The running total of the number of events specified on the io_setup system call for all currently active aio contexts","count"
"linux_sysctl_fs","Provides Linux sysctl fs metrics","host","telegraf","nr_open","the maximum number of file-handles a process can allocate","count"
"mem","Memory","host","telegraf","used_percent","Used memory rate","%"
"mem","Memory","host","telegraf","available_percent","Available memory rate","%"
"mem","Memory","host","telegraf","free_percent","Free memory rate","%"
"mem","Memory","host","telegraf","used","Used memory","byte"
"mem","Memory","host","telegraf","free","Free memory","byte"
"mem","Memory","host","telegraf","active","The amount of active memory","byte"
"mem","Memory","host","telegraf","inactive","The amount of inactive memory","byte"
"mem","Memory","host","telegraf","cached","Cache memory","byte"
"mem","Memory","host","telegraf","buffered","Buffer memory","byte"
"mem","Memory","host","telegraf","slab","Number of kernel caches","byte"
"mem","Memory","host","telegraf","available","Available memory","byte"
"mem","Memory","host","telegraf","total","Total memory","byte"
"agent_mem","Memory","agent","telegraf","used_percent","Used memory rate","%"
"agent_mem","Memory","agent","telegraf","available_percent","Available memory rate","%"
"agent_mem","Memory","agent","telegraf","free_percent","Free memory rate","%"
"agent_mem","Memory","agent","telegraf","used","Used memory","byte"
"agent_mem","Memory","agent","telegraf","free","Free memory","byte"
"agent_mem","Memory","agent","telegraf","active","The amount of active memory","byte"
"agent_mem","Memory","agent","telegraf","inactive","The amount of inactive memory","byte"
"agent_mem","Memory","agent","telegraf","cached","Cache memory","byte"
"agent_mem","Memory","agent","telegraf","buffered","Buffer memory","byte"
"agent_mem","Memory","agent","telegraf","slab","Number of kernel caches","byte"
"agent_mem","Memory","agent","telegraf","available","Available memory","byte"
"agent_mem","Memory","agent","telegraf","total","Total memory","byte"
"net","Network interface and protocol usage","host","telegraf","bps_sent","Send traffic per second","bps"
"net","Network interface and protocol usage","host","telegraf","bps_recv","Received traffic per second","bps"
"net","Network interface and protocol usage","host","telegraf","pps_recv","Received packets per second","pps"
"net","Network interface and protocol usage","host","telegraf","pps_sent","Send packets per second","pps"
"net","Network interface and protocol usage","host","telegraf","bytes_sent","The total number of bytes sent by the network interface","byte"
"net","Network interface and protocol usage","host","telegraf","bytes_recv","The total number of bytes received by the network interface","byte"
"net","Network interface and protocol usage","host","telegraf","packets_sent","The total number of packets sent by the network interface","count"
"net","Network interface and protocol usage","host","telegraf","packets_recv","The total number of packets received by the network interface","count"
"net","Network interface and protocol usage","host","telegraf","err_in","The total number of receive errors detected by the network interface","count"
"net","Network interface and protocol usage","host","telegraf","err_out","The total number of transmission errors detected by the network interface","count"
"net","Network interface and protocol usage","host","telegraf","drop_in","The total number of received packets dropped by the network interface","count"
"net","Network interface and protocol usage","host","telegraf","drop_out","The total number of transmission packets dropped by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","bps_sent","Send traffic per second","bps"
"agent_net","Network interface and protocol usage","agent","telegraf","bps_recv","Received traffic per second","bps"
"agent_net","Network interface and protocol usage","agent","telegraf","pps_recv","Received packets per second","pps"
"agent_net","Network interface and protocol usage","agent","telegraf","pps_sent","Send packets per second","pps"
"agent_net","Network interface and protocol usage","agent","telegraf","bytes_sent","The total number of bytes sent by the network interface","byte"
"agent_net","Network interface and protocol usage","agent","telegraf","bytes_recv","The total number of bytes received by the network interface","byte"
"agent_net","Network interface and protocol usage","agent","telegraf","packets_sent","The total number of packets sent by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","packets_recv","The total number of packets received by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","err_in","The total number of receive errors detected by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","err_out","The total number of transmission errors detected by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","drop_in","The total number of received packets dropped by the network interface","count"
"agent_net","Network interface and protocol usage","agent","telegraf","drop_out","The total number of transmission packets dropped by the network interface","count"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","load","Load utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","model_load","Model load utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","fw_load","FW load utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","inst","INST utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","max_inst","MAX INST utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","mem","Memory utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","critical_mem","Critical memory utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","share_mem","Share memory utilization","%"
"ni_rsrc_mon","NETINT device metrics","host","telegraf","p2p_mem","P2P memory utilization","%"
"nvidia_smi","Nvidia GPU metrics","host","telegraf","clocks_current_graphics","GPU current clocks, MHz",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","clocks_current_memory","GPU current memory clocks, MHz",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","temperature_gpu","GPU temperature",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","memory_total","GPU memory total size",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","memory_free","GPU memory free size",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","memory_used","GPU memory used size",""
"nvidia_smi","Nvidia GPU metrics","host","telegraf","utilization_gpu","GPU utilization","%"
"nvidia_smi","Nvidia GPU metrics","host","telegraf","utilization_memory","GPU memory utilization","%"
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","clocks_current_graphics","GPU current clocks, MHz",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","clocks_current_memory","GPU current memory clocks, MHz",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","temperature_gpu","GPU temperature",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","memory_total","GPU memory total size",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","memory_free","GPU memory free size",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","memory_used","GPU memory used size",""
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","utilization_gpu","GPU utilization","%"
"agent_nvidia_smi","Nvidia GPU metrics in guests","agent","telegraf","utilization_memory","GPU memory utilization","%"
"processes","Processes status","host","telegraf","total","Total processes count","count"
"processes","Processes status","host","telegraf","total_threads","Total threads count","count"
"processes","Processes status","host","telegraf","zombies","Z state, zombie processes count","count"
"processes","Processes status","host","telegraf","running","R state, running processes count","count"
"processes","Processes status","host","telegraf","sleeping","S state, sleeping processes count","count"
"processes","Processes status","host","telegraf","blocked","D, waiting in uninterruptible sleep, or locked, aka disk sleep","count"
"processes","Processes status","host","telegraf","stopped","T state, stopped process count","count"
"processes","Processes status","host","telegraf","dead","X state, dead","count"
"processes","Processes status","host","telegraf","wait","W state, (freebsd only)","count"
"processes","Processes status","host","telegraf","idle","I state, (sleeping for longer than about 20 seconds, bsd and Linux 4+ only)","count"
"processes","Processes status","host","telegraf","paging","W state (linux kernel < 2.6 only)","count"
"processes","Processes status","host","telegraf","parked","(linux only)","count"
"agent_processes","Processes status in guest","agent","telegraf","total","Total processes count","count"
"agent_processes","Processes status in guest","agent","telegraf","total_threads","Total threads count","count"
"agent_processes","Processes status in guest","agent","telegraf","zombies","Z state, zombie processes count","count"
"agent_processes","Processes status in guest","agent","telegraf","running","R state, running processes count","count"
"agent_processes","Processes status in guest","agent","telegraf","sleeping","S state, sleeping processes count","count"
"agent_processes","Processes status in guest","agent","telegraf","blocked","D, waiting in uninterruptible sleep, or locked, aka disk sleep","count"
"agent_processes","Processes status in guest","agent","telegraf","stopped","T state, stopped process count","count"
"agent_processes","Processes status in guest","agent","telegraf","dead","X state, dead","count"
"agent_processes","Processes status in guest","agent","telegraf","wait","W state, (freebsd only)","count"
"agent_processes","Processes status in guest","agent","telegraf","idle","I state, (sleeping for longer than about 20 seconds, bsd and Linux 4+ only)","count"
"agent_processes","Processes status in guest","agent","telegraf","paging","W state (linux kernel < 2.6 only)","count"
"agent_processes","Processes status in guest","agent","telegraf","parked","(linux only)","count"
"radeontop","AMD GPU metrics","host","telegraf","clocks_current_memory","GPU current memory clocks, MHz",""
"radeontop","AMD GPU metrics","host","telegraf","clocks_current_shader","GPU current shader clocks, MHz",""
"radeontop","AMD GPU metrics","host","telegraf","memory_total","GPU memory total size",""
"radeontop","AMD GPU metrics","host","telegraf","memory_free","GPU memory free size",""
"radeontop","AMD GPU metrics","host","telegraf","memory_used","GPU memory used size",""
"radeontop","AMD GPU metrics","host","telegraf","gtt_total","GPU gtt total size",""
"radeontop","AMD GPU metrics","host","telegraf","gtt_free","GPU gtt free size",""
"radeontop","AMD GPU metrics","host","telegraf","gtt_used","GPU gtt used size",""
"radeontop","AMD GPU metrics","host","telegraf","utilization_clock_memory","GPU block memory utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_clock_shader","GPU block shader utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_gpu","GPU utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_memory","GPU memory utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_event_engine","GPU event engine utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_vertex_grouper_tesselator","GPU vertex grouper tesselator utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_texture_addresser","GPU texture addresser utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_shader_exporter","GPU shader export utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_sequencer_instruction_cache","GPU sequencer instruction cache utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_shader_interpolator","GPU shader interpolator utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_scan_converter","GPU scan converter utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_primitive_assembly","GPU primitive assembly utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_depth_block","GPU depth block utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_color_block","GPU color block utilization","%"
"radeontop","AMD GPU metrics","host","telegraf","utilization_gtt","GPU gtt utilization","%"
"system","System load","host","telegraf","load1","Loadavg load1","NULL"
"system","System load","host","telegraf","load5","Loadavg load5","NULL"
"system","System load","host","telegraf","load15","Loadavg load15","NULL"
"system","System load","host","telegraf","load1_pcore","Loadavg load1 per cpu core","NULL"
"system","System load","host","telegraf","load5_pcore","Loadavg load5 per cpu core","NULL"
"system","System load","host","telegraf","load15_pcore","Loadavg load15 per cpu core","NULL"
"vasmi","Vasmi GPU metrics","host","telegraf","temperature_gpu","GPU temperature",""
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_gpu","GPU utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_memory","GPU memory utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_share_memory","GPU share memory utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_encoder","GPU encoder utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_decoder","GPU decoder utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","utilization_ai","GPU AI utilization","%"
"vasmi","Vasmi GPU metrics","host","telegraf","clocks_current_gpu","GPU current clocks, MHz",""
"vasmi","Vasmi GPU metrics","host","telegraf","oclk","oclk, MHz",""
"vasmi","Vasmi GPU metrics","host","telegraf","dclk","dclk, MHz",""
"vasmi","Vasmi GPU metrics","host","telegraf","eclk","eclk, MHz",""
"vasmi","Vasmi GPU metrics","host","telegraf","gclk","gclk, MHz",""
"vasmi","Vasmi GPU metrics","host","telegraf","aic_power","AIC power",""
"vm_cpu","Guest CPU usage","guest","telegraf","usage_active","CPU active state utilization rate","%"
"vm_cpu","Guest CPU usage","guest","telegraf","cpu_usage_pcore","CPU utilization rate per core","%"
"vm_cpu","Guest CPU usage","guest","telegraf","cpu_usage_idle_pcore","CPU idle rate per core","%"
"vm_cpu","Guest CPU usage","guest","telegraf","cpu_time_system","CPU system state time","ms"
"vm_cpu","Guest CPU usage","guest","telegraf","cpu_time_user","CPU user state time","ms"
"vm_cpu","Guest CPU usage","guest","telegraf","thread_count","The number of threads used by the process","count"
"vm_mem","Guest memory","guest","telegraf","used_percent","Used memory rate","%"
"vm_mem","Guest memory","guest","telegraf","vms","Virtual memory consumption","byte"
"vm_mem","Guest memory","guest","telegraf","rss","Actual use of physical memory","byte"
"vm_disk","Guest disk","guest","telegraf","used_percent","Used vm disk rate","%"
"vm_diskio","Guest disk traffic","guest","telegraf","read_bps","Disk read rate","Bps"
"vm_diskio","Guest disk traffic","guest","telegraf","write_bps","Disk write rate","Bps"
"vm_diskio","Guest disk traffic","guest","telegraf","read_iops","Disk read operate rate","count"
"vm_diskio","Guest disk traffic","guest","telegraf","write_iops","Disk write operate rate","count"
"vm_diskio","Guest disk traffic","guest","telegraf","read_bytes","Bytes read","byte"
"vm_diskio","Guest disk traffic","guest","telegraf","write_bytes","Bytes write","byte"
"vm_netio","Guest network traffic","guest","telegraf","bps_recv","Received traffic per second","bps"
"vm_netio","Guest network traffic","guest","telegraf","bps_sent","Send traffic per second","bps"
"vm_netio","Guest network traffic","guest","telegraf","pps_recv","Received packets per second","pps"
"vm_netio","Guest network traffic","guest","telegraf","pps_sent","Send packets per second","pps"
"pod_netio","Pod network traffic","container","telegraf","bps_recv","Received traffic per second","bps"
"pod_netio","Pod network traffic","container","telegraf","bps_sent","Send traffic per second","bps"
"pod_netio","Pod network traffic","container","telegraf","pps_recv","Received packets per second","pps"
"pod_netio","Pod network traffic","container","telegraf","pps_sent","Send packets per second","pps"
"cloudaccount_balance","Cloud account balance","cloudaccount","meter_db","balance","balance","NULL"
"container_cpu","Container cpu","container","telegraf","usage_rate","Container cpu usage rate","%"
"container_mem","Container memory","container","telegraf","usage_rate","Container memory usage rate","%"
"container_mem","Container memory","container","telegraf","working_set_bytes","Container memory working set bytes","byte"
"dcs_cpu","Redis CPU usage","redis","telegraf","usage_percent","CPU active state utilization rate","%"
"dcs_cpu","Redis CPU usage","redis","telegraf","server_load","server load","%"
"dcs_mem","Redis memory","redis","telegraf","used_percent","Used memory rate","%"
"dcs_netio","Redis network traffic","redis","telegraf","bps_recv","Received traffic per second","bps"
"dcs_netio","Redis network traffic","redis","telegraf","bps_sent","Send traffic per second","bps"
"dcs_conn","Redis connect","redis","telegraf","used_percent","Connection usage","%"
"dcs_conn","Redis connect","redis","telegraf","errors","Connection errors","count"
"dcs_instantopt","Redis operator","redis","telegraf","opt_sec","Number of commands processed per second","count"
"dcs_cachekeys","Redis keys","redis","telegraf","key_count","Number of cache keys","count"
"dcs_datamem","Redis data memory","redis","telegraf","used_byte","Data node memory usage","byte"
"haproxy","load balance","elb","telegraf","used_snat_port","used SNAT port count","count"
"haproxy","load balance","elb","telegraf","snat_conn_count","SNAT connection count","count"
"internal_agent","Agent wide statistics of telegraf agent","host","telegraf","gather_errors","",""
"internal_agent","Agent wide statistics of telegraf agent","host","telegraf","metrics_dropped","",""
"internal_agent","Agent wide statistics of telegraf agent","host","telegraf","metrics_gathered","",""
"internal_agent","Agent wide statistics of telegraf agent","host","telegraf","metrics_written","",""
"internal_gather","Gather statistics of telegraf agent","host","telegraf","gather_time_ns","",""
"internal_gather","Gather statistics of telegraf agent","host","telegraf","metrics_gathered","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","alloc_bytes","alloc_bytes","count"
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","frees","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_alloc_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_idle_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_in_use_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_objects_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_released_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","heap_sys_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","mallocs","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","num_gc","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","pointer_lookups","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","sys_bytes","",""
"internal_memstats","Memory usage statistics of telegraf agent","host","telegraf","total_alloc_bytes","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","buffer_limit","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","buffer_size","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","metrics_added","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","metrics_written","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","metrics_dropped","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","metrics_filtered","",""
"internal_write","Write statistics of telegraf agent","host","telegraf","write_time_ns","",""
"jenkins_node","jenkins node","ext_jenkins","telegraf","disk_available","disk_available","byte"
"jenkins_node","jenkins node","ext_jenkins","telegraf","temp_available","temp_available","byte"
"jenkins_node","jenkins node","ext_jenkins","telegraf","memory_available","memory_available","byte"
"jenkins_node","jenkins node","ext_jenkins","telegraf","memory_total","memory_total","byte"
"jenkins_node","jenkins node","ext_jenkins","telegraf","swap_available","swap_available","byte"
"jenkins_node","jenkins node","ext_jenkins","telegraf","swap_total","swap_total","byte"
"jenkins_job","jenkins job","ext_jenkins","telegraf","duration","duration","ms"
"jenkins_job","jenkins job","ext_jenkins","telegraf","number","number","count"
"k8s_pod","k8s pod","k8s","telegraf","cpu_used_percent","CPU active state utilization rate","%"
"k8s_pod","k8s pod","k8s","telegraf","mem_used_percent","Used memory rate","%"
"k8s_pod","k8s pod","k8s","telegraf","restart_total","pod restart count","count"
"k8s_deploy","k8s deploy","k8s","telegraf","pod_oom_total","oom pod count","count"
"k8s_deploy","k8s deploy","k8s","telegraf","pod_restarting_total","restarting pod count","count"
"k8s_node","k8s node","k8s","telegraf","cpu_used_percent","CPU active state utilization rate","%"
"k8s_node","k8s node","k8s","telegraf","mem_used_percent","Used memory rate","%"
"k8s_node","k8s node","k8s","telegraf","disk_used_percent","Percentage of used disks","%"
"k8s_node","k8s node","k8s","telegraf","bps_sent","Send traffic per second","bps"
"k8s_node","k8s node","k8s","telegraf","bps_recv","Received traffic per second","bps"
"k8s_node","k8s node","k8s","telegraf","pod_restart_total","pod restart count in node","count"
"kernel","kernel metrics","host","telegraf","boot_time","seconds since epoch, btime","s"
"kernel","kernel metrics","host","telegraf","context_switches","context switch count","count"
"kernel","kernel metrics","host","telegraf","disk_pages_in","page in count","count"
"kernel","kernel metrics","host","telegraf","disk_pages_out","page out count","count"
"kernel","kernel metrics","host","telegraf","interrupts","interrupts count","count"
"kernel","kernel metrics","host","telegraf","processes_forked","processes forked count","count"
"kernel","kernel metrics","host","telegraf","entropy_avail","entropy available","NULL"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_free_pages","nr_free_pages","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_inactive_anon","(integer, nr_inactive_anon)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_active_anon","(integer, nr_active_anon)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_inactive_file","(integer, nr_inactive_file)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_active_file","(integer, nr_active_file)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_unevictable","(integer, nr_unevictable)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_mlock","(integer, nr_mlock)","count"
"kernel_vmstat","kernel vmstat","host","telegraf","nr_anon_pages","(integer, nr_anon_pages)","count"
